,AIC,MAPE,MAE,smAPE,MSE
Model1t,,0.1050944,0.9535434,0.1016744,1.4858861
Model1v,,0.205803,1.7337081,0.1801528,5.1684966
Model2t,,0.105993,0.9450874,0.1017189,1.5650098
Model2v,,0.2590711,2.3290569,0.2554442,6.6910431
Model3t,,0.1245799,1.2561866,0.1337957,2.6919486
Model3v,,0.2739753,2.7367708,0.3047514,7.9318708
Model4t,,0.1060846,0.9457626,0.1017551,1.5646316
Model4v,,0.2596005,2.3327929,0.2556595,6.7310766
Model5t,,0.105014,0.9528881,0.1016173,1.4858119
Model5v,,0.2053634,1.7295799,0.1798546,5.1478391
